d=6: H_t (nats) and #cells per prefix; benchmarks: log(d*t) at t=14 = 4.43, t*log(d) = 25.08
  t |        adversary |          cellmax |           toward |       random-SSG
  2 | H= 3.39 dH=+3.39 | H= 3.38 dH=+3.38 | H= 2.24 dH=+2.24 | H= 2.43 dH=+2.43
  3 | H= 3.48 dH=+0.09 | H= 3.56 dH=+0.18 | H= 2.33 dH=+0.09 | H= 3.05 dH=+0.62
  4 | H= 3.51 dH=+0.03 | H= 3.90 dH=+0.34 | H= 3.10 dH=+0.77 | H= 2.97 dH=-0.08
  5 | H= 3.49 dH=-0.02 | H= 3.89 dH=-0.01 | H= 4.09 dH=+0.99 | H= 3.56 dH=+0.59
  6 | H= 3.53 dH=+0.04 | H= 4.04 dH=+0.16 | H= 4.02 dH=-0.07 | H= 3.93 dH=+0.37
  7 | H= 3.51 dH=-0.02 | H= 3.97 dH=-0.08 | H= 4.91 dH=+0.88 | H= 3.78 dH=-0.15
  8 | H= 3.47 dH=-0.04 | H= 4.61 dH=+0.64 | H= 4.60 dH=-0.31 | H= 3.80 dH=+0.02
  9 | H= 3.49 dH=+0.03 | H= 4.51 dH=-0.10 | H= 4.78 dH=+0.18 | H= 4.40 dH=+0.60
 10 | H= 3.47 dH=-0.03 | H= 5.27 dH=+0.76 | H= 5.28 dH=+0.50 | H= 4.31 dH=-0.09
 11 | H= 3.46 dH=-0.01 | H= 5.25 dH=-0.02 | H= 5.66 dH=+0.38 | H= 4.45 dH=+0.15
 12 | H= 3.48 dH=+0.02 | H= 5.21 dH=-0.03 | H= 5.58 dH=-0.08 | H= 4.61 dH=+0.16
 13 | H= 3.47 dH=-0.01 | H= 5.53 dH=+0.32 | H= 5.56 dH=-0.02 | H= 4.74 dH=+0.13
 14 | H= 3.40 dH=-0.07 | H= 5.58 dH=+0.05 | H= 5.51 dH=-0.05 | H= 5.15 dH=+0.41
