d,disc,seed,delta,t,inv_kappa,h_iso
4,0.1,0,0.23216040514802294,3,0.35914385559731943,0.5507412738155084
4,0.1,0,0.23216040514802294,6,0.21846302215897984,0.5486714445630212
4,0.1,1,0.005310737019979916,3,0.18896097500770823,0.4461465304808139
4,0.1,1,0.005310737019979916,6,0.09169526752679476,0.33332362426062023
4,0.1,2,0.039989947403434645,3,0.33240548261364694,0.5669236083672691
4,0.1,2,0.039989947403434645,6,0.18946780546309702,0.5750860637924506
4,0.001,0,0.33232882875062797,3,0.36194286338268805,0.5554706769744374
4,0.001,0,0.33232882875062797,6,0.2571420856989795,0.610631996518286
4,0.001,1,4.047853914951327e-05,3,0.3363902217021123,0.5233660824800226
4,0.001,1,4.047853914951327e-05,6,0.364673102039577,0.442220576449479
5,0.01,0,0.0025872156246133926,3,0.47953825719340354,0.5347464575530518
5,0.01,0,0.0025872156246133926,6,0.4440782777337781,0.5454095077387997
5,0.01,1,0.059692397311781956,3,0.40339381624560633,0.47873285482871963
5,0.01,1,0.059692397311781956,6,0.2369827761779006,0.5605280271350431
5,0.01,2,0.0005514662733306823,3,0.4124431182052944,0.48076337351663606
5,0.01,2,0.0005514662733306823,6,0.377288342278135,0.538765580216445
5,0.1,0,0.015445481247837733,3,0.47953825719340354,0.5347464575530518
5,0.1,0,0.015445481247837733,6,0.4440782777337781,0.5454095077387997
5,0.001,0,0.0002693234812215506,3,0.47953825719340354,0.5347464575530518
5,0.001,0,0.0002693234812215506,6,0.4440782777337781,0.5454095077387997
6,0.001,0,2.065167760068043e-05,3,0.40455313842861185,0.5149316642791082
6,0.001,0,2.065167760068043e-05,6,0.3537170091559162,0.5258731209618136
6,0.001,1,0.0003118314520104857,3,0.4344457284335805,0.5041521257730994
6,0.001,1,0.0003118314520104857,6,0.2666421654603553,0.5570288244294426
6,0.001,2,5.5146627333068234e-05,3,0.45345135462728425,0.4930708253623413
6,0.001,2,5.5146627333068234e-05,6,0.2366711759492918,0.5587191602728055
6,0.1,0,0.013878229547368504,3,0.4200912812962371,0.4585748650847879
6,0.1,0,0.013878229547368504,6,0.3111348871816624,0.5390133389193149
6,0.1,1,0.031183145201048538,3,0.44369029189282144,0.475697682613284
6,0.1,1,0.031183145201048538,6,0.2725018485230238,0.5294874399999792
