=== d=5 seed=1 FREE adversary, no realizability (T=12) ===
  t= 1 N= 2200 comps=  1 pockets=   0 sizes[1.00] kept=0.460 menu=  32 rank=0 next=(1, 112)
  t= 2 N= 2200 comps=  1 pockets= 176 sizes[1.00] kept=0.520 menu=  32 rank=0 next=(1, 386)
  t= 3 N= 2200 comps=  1 pockets= 616 sizes[1.00] kept=0.512 menu=  32 rank=0 next=(1, 976)
  t= 4 N= 2200 comps=  1 pockets=1971 sizes[1.00] kept=0.483 menu=  32 rank=0 next=(2, 1337)
  t= 5 N= 2200 comps=  1 pockets=3149 sizes[0.99/0.00/0.00/0.00] kept=0.497 menu=  32 rank=0 next=(3, 1579)
  t= 6 N= 2200 comps=  1 pockets=3629 sizes[1.00/0.00/0.00/0.00] kept=0.490 menu=  32 rank=0 next=(10, 1614)
  t= 7 N= 2200 comps=  1 pockets=4040 sizes[0.99/0.00/0.00/0.00] kept=0.509 menu=  32 rank=0 next=(17, 1692)
  t= 8 N= 2200 comps=  5 pockets=3901 sizes[0.86/0.04/0.03/0.03] kept=0.547 menu=  32 rank=0 next=(16, 1712)
  t= 9 N= 2200 comps=  9 pockets=4023 sizes[0.61/0.09/0.07/0.06] kept=0.530 menu=  32 rank=0 next=(20, 1643)
  t=10 N= 2200 comps= 14 pockets=3983 sizes[0.18/0.18/0.11/0.10] kept=0.483 menu=  32 rank=0 next=(20, 1579)
  t=11 N= 2200 comps= 19 pockets=4167 sizes[0.13/0.09/0.08/0.08] kept=0.482 menu=  32 rank=0 next=(24, 1659)
  t=12 N= 2200 comps= 18 pockets=4093 sizes[0.17/0.12/0.08/0.07] kept=0.504 menu=  32 rank=0 next=(20, 1678)
=== d=5 seed=2 FREE adversary, no realizability (T=12) ===
  t= 1 N= 2200 comps=  1 pockets=   0 sizes[1.00] kept=0.490 menu=  32 rank=0 next=(1, 138)
  t= 2 N= 2200 comps=  1 pockets= 198 sizes[1.00] kept=0.483 menu=  32 rank=0 next=(1, 473)
  t= 3 N= 2200 comps=  1 pockets= 672 sizes[1.00] kept=0.480 menu=  32 rank=0 next=(1, 1045)
  t= 4 N= 2200 comps=  1 pockets=2178 sizes[1.00/0.00] kept=0.501 menu=  32 rank=0 next=(3, 911)
  t= 5 N= 2200 comps=  1 pockets=1871 sizes[1.00/0.00/0.00/0.00] kept=0.459 menu=  32 rank=0 next=(4, 904)
  t= 6 N= 2200 comps=  1 pockets=1951 sizes[0.99/0.00/0.00/0.00] kept=0.495 menu=  32 rank=0 next=(5, 783)
  t= 7 N= 2200 comps=  2 pockets=1869 sizes[0.99/0.01/0.00/0.00] kept=0.481 menu=  32 rank=0 next=(6, 574)
  t= 8 N= 2200 comps=  1 pockets=1167 sizes[0.99/0.00/0.00/0.00] kept=0.507 menu=  32 rank=0 next=(7, 662)
  t= 9 N= 2200 comps=  2 pockets=1532 sizes[0.98/0.01/0.00/0.00] kept=0.513 menu=  32 rank=0 next=(6, 734)
  t=10 N= 2200 comps=  1 pockets=1500 sizes[1.00/0.00/0.00/0.00] kept=0.525 menu=  32 rank=0 next=(3, 891)
  t=11 N= 2200 comps=  1 pockets=1590 sizes[0.99/0.00/0.00/0.00] kept=0.520 menu=  32 rank=0 next=(3, 686)
  t=12 N= 2200 comps=  1 pockets=1528 sizes[0.98/0.00/0.00/0.00] kept=0.482 menu=  32 rank=0 next=(5, 791)
=== d=5 seed=3 FREE adversary, no realizability (T=12) ===
  t= 1 N= 2200 comps=  1 pockets=   0 sizes[1.00] kept=0.495 menu=  32 rank=0 next=(1, 144)
  t= 2 N= 2200 comps=  1 pockets= 165 sizes[1.00] kept=0.504 menu=  32 rank=0 next=(1, 421)
  t= 3 N= 2200 comps=  1 pockets= 682 sizes[1.00] kept=0.522 menu=  32 rank=0 next=(1, 1083)
