=== ssg      d=6: transverse stacking + re-stratification ===
  t  #mc cross geoKmax geoKmu dynKmax birthKmx births robust collar4 m3(2d) pairchg viaCol
  2   28    23      28  20.80      10        2     15  0.118   0.882  0.464   0.006  1.000
  3   33    27      32  23.60       9        3     18  0.049   0.951  0.643   0.016  1.000
  4   41    37      41  29.00      15        6     28  0.031   0.969  0.677   0.026  1.000
  5   59    51      58  38.83      10        1      2  0.056   0.944  0.601   0.043  1.000
  6   65    60      64  41.60      27        7     32  0.037   0.963  0.630   0.038  1.000
  7   68    50      67  40.40      18        3     15  0.116   0.884  0.518   0.013  1.000
  8   73    67      73  44.47      18        4     11  0.042   0.958  0.670   0.002  1.000
  9   82    72      79  51.33      26        7     40  0.038   0.962  0.726   0.071  1.000
 10   84    67      79  50.77      22        5     22  0.009   0.991  0.822   0.015  1.000
 11   96    77      96  53.73      21        4      9  0.072   0.928  0.529   0.016  1.000
 12  109    80     107  60.33      26        4     12  0.048   0.952  0.649   0.015  1.000
=== adversary d=6: transverse stacking + re-stratification ===
  t  #mc cross geoKmax geoKmu dynKmax birthKmx births robust collar4 m3(2d) pairchg viaCol
  2   30    30      30  22.63       7        0      0  0.174   0.826  0.393   0.023  1.000
  3   30    30      26  19.30       3        0      0  0.598   0.402  0.147   0.022  1.000
  4   30    30      22  16.20       1        0      0  0.716   0.284  0.113   0.002  1.000
  5   30    30      19  14.70       2        0      0  0.890   0.110  0.038   0.000    nan
  6   31    31      18  14.13       1        0      0  0.928   0.072  0.026   0.000    nan
  7   30    30      16  13.53       1        0      0  0.951   0.049  0.020   0.000    nan
  8   30    30      16  13.30       1        0      0  0.978   0.022  0.009   0.000    nan
  9   30    30      15  13.07       0        0      0  0.989   0.011  0.003   0.000    nan
 10   30    30      15  13.10       0        0      0  0.995   0.005  0.001   0.000    nan
 11   30    30      15  13.10       0        0      0  0.996   0.004  0.003   0.000    nan
 12   30    30      14  13.00       0        0      0  0.998   0.002  0.000   0.000    nan
=== cellmax   d=6: transverse stacking + re-stratification ===
  t  #mc cross geoKmax geoKmu dynKmax birthKmx births robust collar4 m3(2d) pairchg viaCol
  2   30    30      29  23.00      12        1      9  0.124   0.876  0.472   0.018  1.000
  3   31    30      30  22.73      14        1      6  0.202   0.798  0.462   0.000    nan
  4   73    57      42  29.13       9        2      5  0.289   0.711  0.341   0.005  1.000
  5   79    55      44  33.23      11        1      3  0.253   0.747  0.479   0.000    nan
  6   83    55      42  30.17       7        1      2  0.364   0.636  0.357   0.001  1.000
  7   87    60      51  38.20      20        2     18  0.023   0.977  0.851   0.000    nan
  8  100    53      50  29.50       8        2      2  0.033   0.967  0.866   0.000    nan
  9   91    56      43  26.63       5        3      6  0.294   0.706  0.466   0.014  1.000
 10  107    48      45  30.77       5        3      9  0.200   0.800  0.459   0.040  1.000
 11  100    41      49  28.80       6        2      8  0.065   0.935  0.862   0.000    nan
 12   99    55      60  35.03      10        1      2  0.031   0.969  0.945     nan    nan
=== randbal   d=6: transverse stacking + re-stratification ===
  t  #mc cross geoKmax geoKmu dynKmax birthKmx births robust collar4 m3(2d) pairchg viaCol
  2   16    15      16  12.43      10        6     22  0.113   0.887  0.497   0.014  1.000
  3   37    36      37  24.77      17        6     55  0.034   0.966  0.669   0.016  1.000
  4   70    53      51  40.70      13        2     11  0.054   0.946  0.583   0.050  1.000
  5   71    60      53  40.57      14        5     36  0.019   0.981  0.751   0.000    nan
  6   85    63      69  47.83      22        3     16  0.020   0.980  0.786   0.016  1.000
  7   96    91      82  56.50      23        3     27  0.002   0.998  0.902   0.110  1.000
  8  106    73      82  50.67      11        2     12  0.043   0.957  0.580   0.054  1.000
  9  104    84      86  44.83      15        3      7  0.106   0.894  0.482   0.027  1.000
 10   97    61      73  42.13      16        4     17  0.077   0.923  0.652   0.000    nan
 11   91    78      73  46.47      22        5     26  0.000   1.000  0.947   0.000    nan
 12  108    84      80  46.20      15        2      4  0.001   0.999  0.903   0.036  1.000
